#timebase=80000000(ps)
,#voltbase=2000000(uV)
#size=40064
1.28250E-04,4800.000
1.28500E-04,4800.000
1.28750E-04,4880.000
1.29000E-04,4800.000
1.29250E-04,4720.000
1.29500E-04,4800.000
1.29750E-04,4720.000
1.30000E-04,4880.000
1.30250E-04,4800.000
1.30500E-04,4800.000
1.30750E-04,4880.000
1.31000E-04,4720.000
1.31250E-04,4960.000
1.31500E-04,4880.000
1.31750E-04,4880.000
1.32000E-04,4720.000
1.32250E-04,4800.000
1.32500E-04,4880.000
1.32750E-04,4800.000
1.33000E-04,4720.000
1.33250E-04,4880.000
1.33500E-04,4720.000
1.33750E-04,4720.000
1.34000E-04,4800.000
1.34250E-04,4880.000
1.34500E-04,4880.000
1.34750E-04,4960.000
1.35000E-04,4880.000
1.35250E-04,4800.000
1.35500E-04,4880.000
1.35750E-04,4880.000
1.36000E-04,4720.000
1.36250E-04,4720.000
1.36500E-04,4800.000
1.36750E-04,4800.000
1.37000E-04,4880.000
1.37250E-04,4800.000
1.37500E-04,4640.000
1.37750E-04,4720.000
1.38000E-04,4800.000
1.38250E-04,4800.000
1.38500E-04,4800.000
1.38750E-04,4880.000
1.39000E-04,4720.000
1.39250E-04,4800.000
1.39500E-04,4800.000
1.39750E-04,4800.000
1.40000E-04,4800.000
1.40250E-04,4640.000
1.40500E-04,4720.000
1.40750E-04,4800.000
1.41000E-04,4720.000
1.41250E-04,4800.000
1.41500E-04,4800.000
1.41750E-04,4800.000
1.42000E-04,4880.000
1.42250E-04,4800.000
1.42500E-04,4880.000
1.42750E-04,4800.000
1.43000E-04,4720.000
1.43250E-04,4720.000
1.43500E-04,4800.000
1.43750E-04,4800.000
1.44000E-04,4800.000
1.44250E-04,4720.000
1.44500E-04,4880.000
1.44750E-04,4800.000
1.45000E-04,4640.000
1.45250E-04,4720.000
1.45500E-04,4720.000
1.45750E-04,4800.000
1.46000E-04,4640.000
1.46250E-04,4800.000
1.46500E-04,4800.000
1.46750E-04,4880.000
1.47000E-04,4800.000
1.47250E-04,4720.000
1.47500E-04,4800.000
1.47750E-04,4880.000
1.48000E-04,4800.000
1.48250E-04,4720.000
1.48500E-04,4800.000
1.48750E-04,4800.000
1.49000E-04,4800.000
1.49250E-04,4880.000
1.49500E-04,4800.000
1.49750E-04,4880.000
1.50000E-04,4720.000
1.50250E-04,4800.000
1.50500E-04,4800.000
1.50750E-04,4880.000
1.51000E-04,4800.000
1.51250E-04,4720.000
1.51500E-04,4880.000
1.51750E-04,4800.000
1.52000E-04,4720.000
1.52250E-04,4640.000
1.52500E-04,4800.000
1.52750E-04,4800.000
1.53000E-04,4800.000
1.53250E-04,4800.000
1.53500E-04,4880.000
1.53750E-04,4800.000
1.54000E-04,4720.000
1.54250E-04,4720.000
1.54500E-04,4720.000
1.54750E-04,4880.000
1.55000E-04,4880.000
1.55250E-04,4880.000
1.55500E-04,4720.000
1.55750E-04,4800.000
1.56000E-04,4720.000
1.56250E-04,4800.000
1.56500E-04,4880.000
1.56750E-04,4800.000
1.57000E-04,4880.000
1.57250E-04,4720.000
1.57500E-04,4640.000
1.57750E-04,4800.000
1.58000E-04,4720.000
1.58250E-04,4800.000
1.58500E-04,4880.000
1.58750E-04,4720.000
1.59000E-04,4720.000
1.59250E-04,4800.000
1.59500E-04,4720.000
1.59750E-04,4800.000
1.60000E-04,4800.000
1.60250E-04,4880.000
1.60500E-04,4800.000
1.60750E-04,4720.000
1.61000E-04,4800.000
1.61250E-04,4640.000
1.61500E-04,4720.000
1.61750E-04,4800.000
1.62000E-04,4720.000
1.62250E-04,4720.000
1.62500E-04,4880.000
1.62750E-04,4720.000
1.63000E-04,4800.000
1.63250E-04,4720.000
1.63500E-04,4720.000
1.63750E-04,4800.000
1.64000E-04,4720.000
1.64250E-04,4800.000
1.64500E-04,4800.000
1.64750E-04,4800.000
1.65000E-04,4800.000
1.65250E-04,4880.000
1.65500E-04,4800.000
1.65750E-04,4960.000
1.66000E-04,4880.000
1.66250E-04,4720.000
1.66500E-04,4720.000
1.66750E-04,4800.000
1.67000E-04,4720.000
1.67250E-04,4800.000
1.67500E-04,4800.000
1.67750E-04,4800.000
1.68000E-04,4800.000
1.68250E-04,4880.000
1.68500E-04,4800.000
1.68750E-04,4720.000
1.69000E-04,4800.000
1.69250E-04,4800.000
1.69500E-04,4880.000
1.69750E-04,4800.000
1.70000E-04,4720.000
1.70250E-04,4880.000
1.70500E-04,4800.000
1.70750E-04,4800.000
1.71000E-04,4880.000
1.71250E-04,4800.000
1.71500E-04,4720.000
1.71750E-04,4720.000
1.72000E-04,4800.000
1.72250E-04,4800.000
1.72500E-04,4720.000
1.72750E-04,4800.000
1.73000E-04,4800.000
1.73250E-04,4800.000
1.73500E-04,4720.000
1.73750E-04,4800.000
1.74000E-04,4880.000
1.74250E-04,4800.000
1.74500E-04,4640.000
1.74750E-04,4800.000
1.75000E-04,4720.000
1.75250E-04,4800.000
1.75500E-04,4720.000
1.75750E-04,4800.000
1.76000E-04,4880.000
1.76250E-04,4800.000
1.76500E-04,4720.000
1.76750E-04,4720.000
1.77000E-04,4800.000
1.77250E-04,4800.000
1.77500E-04,4880.000
1.77750E-04,4800.000
1.78000E-04,4720.000
1.78250E-04,4800.000
1.78500E-04,4880.000
1.78750E-04,4720.000
1.79000E-04,4800.000
1.79250E-04,4800.000
1.79500E-04,4880.000
1.79750E-04,4800.000
1.80000E-04,4640.000
1.80250E-04,4720.000
1.80500E-04,4720.000
1.80750E-04,4720.000
1.81000E-04,4800.000
1.81250E-04,4800.000
1.81500E-04,4800.000
1.81750E-04,4800.000
1.82000E-04,4800.000
1.82250E-04,4800.000
1.82500E-04,4800.000
1.82750E-04,4880.000
1.83000E-04,4800.000
1.83250E-04,4800.000
1.83500E-04,4800.000
1.83750E-04,4720.000
1.84000E-04,4720.000
1.84250E-04,4800.000
1.84500E-04,4720.000
1.84750E-04,4800.000
1.85000E-04,4800.000
1.85250E-04,4800.000
1.85500E-04,4800.000
1.85750E-04,4800.000
1.86000E-04,4800.000
1.86250E-04,4640.000
1.86500E-04,4800.000
1.86750E-04,4800.000
1.87000E-04,4880.000
1.87250E-04,4800.000
1.87500E-04,4720.000
1.87750E-04,4800.000
1.88000E-04,4720.000
1.88250E-04,4800.000
1.88500E-04,4800.000
1.88750E-04,4720.000
1.89000E-04,4800.000
1.89250E-04,4800.000
1.89500E-04,4880.000
1.89750E-04,4880.000
