#timebase=20000000(ps)
,#voltbase=50000(uV)
#size=4064
1.04600E-04,6.000
1.04700E-04,6.000
1.04800E-04,6.000
1.04900E-04,4.000
1.05000E-04,4.000
1.05100E-04,2.000
1.05200E-04,2.000
1.05300E-04,0.000
1.05400E-04,-4.000
1.05500E-04,-2.000
1.05600E-04,-2.000
1.05700E-04,-4.000
1.05800E-04,-6.000
1.05900E-04,-6.000
1.06000E-04,-4.000
1.06100E-04,-8.000
1.06200E-04,-8.000
1.06300E-04,-8.000
1.06400E-04,-8.000
1.06500E-04,-10.000
1.06600E-04,-10.000
1.06700E-04,-10.000
1.06800E-04,-10.000
1.06900E-04,-12.000
1.07000E-04,-16.000
1.07100E-04,-18.000
1.07200E-04,-18.000
1.07300E-04,-20.000
1.07400E-04,-18.000
1.07500E-04,-12.000
1.07600E-04,-8.000
1.07700E-04,-8.000
1.07800E-04,-8.000
1.07900E-04,-12.000
1.08000E-04,-14.000
1.08100E-04,-18.000
1.08200E-04,-18.000
1.08300E-04,-16.000
1.08400E-04,-16.000
1.08500E-04,-12.000
1.08600E-04,-16.000
1.08700E-04,-12.000
1.08800E-04,-14.000
1.08900E-04,-16.000
1.09000E-04,-18.000
1.09100E-04,-14.000
1.09200E-04,-14.000
1.09300E-04,-16.000
1.09400E-04,-18.000
1.09500E-04,-18.000
1.09600E-04,-14.000
1.09700E-04,-18.000
1.09800E-04,-16.000
1.09900E-04,-16.000
1.10000E-04,-14.000
1.10100E-04,-16.000
1.10200E-04,-18.000
1.10300E-04,-18.000
1.10400E-04,-18.000
1.10500E-04,-20.000
1.10600E-04,-18.000
