#timebase=40000000(ps)
,#voltbase=2000000(uV)
#size=40064
2.94500E-05,4800.000
2.95000E-05,4800.000
2.95500E-05,4800.000
2.96000E-05,4800.000
2.96500E-05,4800.000
2.97000E-05,4800.000
2.97500E-05,4960.000
2.98000E-05,4880.000
2.98500E-05,4960.000
2.99000E-05,4880.000
2.99500E-05,4720.000
3.00000E-05,4800.000
3.00500E-05,4800.000
3.01000E-05,4880.000
3.01500E-05,4800.000
3.02000E-05,4880.000
3.02500E-05,4720.000
3.03000E-05,4640.000
3.03500E-05,4800.000
3.04000E-05,4720.000
3.04500E-05,4720.000
3.05000E-05,4800.000
3.05500E-05,4720.000
3.06000E-05,4800.000
3.06500E-05,4800.000
3.07000E-05,4800.000
3.07500E-05,4800.000
3.08000E-05,4880.000
3.08500E-05,4880.000
3.09000E-05,4800.000
3.09500E-05,4800.000
3.10000E-05,4880.000
3.10500E-05,4880.000
3.11000E-05,4800.000
3.11500E-05,4800.000
3.12000E-05,4720.000
3.12500E-05,4880.000
3.13000E-05,4800.000
3.13500E-05,4880.000
3.14000E-05,4800.000
3.14500E-05,4800.000
3.15000E-05,4960.000
3.15500E-05,4800.000
3.16000E-05,4800.000
3.16500E-05,4800.000
3.17000E-05,4800.000
3.17500E-05,4880.000
3.18000E-05,4880.000
3.18500E-05,4800.000
3.19000E-05,4800.000
3.19500E-05,4800.000
3.20000E-05,4880.000
3.20500E-05,4960.000
3.21000E-05,4800.000
3.21500E-05,4720.000
3.22000E-05,4800.000
3.22500E-05,4720.000
3.23000E-05,4880.000
3.23500E-05,4800.000
3.24000E-05,4800.000
3.24500E-05,4960.000
3.25000E-05,4720.000
3.25500E-05,4720.000
3.26000E-05,4800.000
3.26500E-05,4880.000
3.27000E-05,4880.000
3.27500E-05,4880.000
3.28000E-05,4880.000
3.28500E-05,4880.000
3.29000E-05,4720.000
3.29500E-05,4880.000
3.30000E-05,4800.000
3.30500E-05,4720.000
3.31000E-05,4800.000
3.31500E-05,4720.000
3.32000E-05,4800.000
3.32500E-05,4800.000
3.33000E-05,4800.000
3.33500E-05,4800.000
3.34000E-05,4720.000
3.34500E-05,4880.000
3.35000E-05,4880.000
3.35500E-05,4880.000
3.36000E-05,4880.000
3.36500E-05,4800.000
3.37000E-05,4720.000
3.37500E-05,4800.000
3.38000E-05,4960.000
3.38500E-05,4880.000
3.39000E-05,4960.000
3.39500E-05,4720.000
3.40000E-05,4720.000
3.40500E-05,4800.000
3.41000E-05,4720.000
3.41500E-05,4800.000
3.42000E-05,4800.000
3.42500E-05,4880.000
3.43000E-05,4800.000
3.43500E-05,4800.000
3.44000E-05,4800.000
3.44500E-05,4960.000
3.45000E-05,4880.000
3.45500E-05,4720.000
3.46000E-05,4800.000
3.46500E-05,4960.000
3.47000E-05,4800.000
3.47500E-05,4800.000
3.48000E-05,4800.000
3.48500E-05,4720.000
3.49000E-05,4800.000
3.49500E-05,4880.000
3.50000E-05,4800.000
3.50500E-05,4720.000
3.51000E-05,4800.000
3.51500E-05,4880.000
3.52000E-05,4800.000
3.52500E-05,4880.000
3.53000E-05,4800.000
3.53500E-05,4800.000
3.54000E-05,4720.000
3.54500E-05,4800.000
3.55000E-05,4720.000
3.55500E-05,4720.000
3.56000E-05,4800.000
3.56500E-05,4880.000
3.57000E-05,4800.000
3.57500E-05,4720.000
3.58000E-05,4720.000
3.58500E-05,4800.000
3.59000E-05,4720.000
3.59500E-05,4720.000
3.60000E-05,4800.000
3.60500E-05,4880.000
3.61000E-05,4880.000
3.61500E-05,4800.000
3.62000E-05,4640.000
3.62500E-05,4880.000
3.63000E-05,4880.000
3.63500E-05,4720.000
3.64000E-05,4720.000
3.64500E-05,4800.000
3.65000E-05,4800.000
3.65500E-05,4880.000
3.66000E-05,4800.000
3.66500E-05,4720.000
3.67000E-05,4800.000
3.67500E-05,4720.000
3.68000E-05,4800.000
3.68500E-05,4880.000
3.69000E-05,4880.000
3.69500E-05,4720.000
3.70000E-05,4800.000
3.70500E-05,4880.000
3.71000E-05,4880.000
3.71500E-05,4720.000
3.72000E-05,4880.000
3.72500E-05,4800.000
3.73000E-05,4880.000
3.73500E-05,4800.000
3.74000E-05,4880.000
3.74500E-05,4880.000
3.75000E-05,4960.000
3.75500E-05,4720.000
3.76000E-05,4800.000
3.76500E-05,4880.000
3.77000E-05,4800.000
3.77500E-05,4880.000
3.78000E-05,4800.000
3.78500E-05,4880.000
3.79000E-05,4880.000
3.79500E-05,4880.000
3.80000E-05,4880.000
3.80500E-05,4880.000
3.81000E-05,4960.000
3.81500E-05,4720.000
3.82000E-05,4800.000
3.82500E-05,4880.000
3.83000E-05,4880.000
3.83500E-05,4880.000
3.84000E-05,4880.000
3.84500E-05,4880.000
3.85000E-05,4880.000
3.85500E-05,4720.000
3.86000E-05,4800.000
3.86500E-05,4800.000
3.87000E-05,4880.000
3.87500E-05,4800.000
3.88000E-05,4720.000
3.88500E-05,4800.000
3.89000E-05,4880.000
3.89500E-05,4800.000
3.90000E-05,4880.000
3.90500E-05,4800.000
3.91000E-05,4880.000
3.91500E-05,4880.000
